molecule_chembl_id,canonical_smiles,standard_value
CHEMBL4469463,COC(=O)[C@@H](CC(C)C)n1[se]c2ccccc2c1=O,121000.0
CHEMBL385817,O=C(Nc1ccccc1)c1ccccc1[Se][Se]c1ccccc1C(=O)Nc1ccccc1,87000.0
CHEMBL3747547,O=C(O)CNC(=O)c1ccccc1[Se][Se]c1ccccc1C(=O)NCC(=O)O,163000.0
CHEMBL3747132,C[C@H](NC(=O)c1ccccc1[Se][Se]c1ccccc1C(=O)N[C@@H](C)C(=O)O)C(=O)O,85000.0
CHEMBL4524305,C[C@H](c1ccccc1)n1[se]c2ccccc2c1=O,25300.0
CHEMBL4534596,C[C@@H](C(=O)O)n1[se]c2ccccc2c1=O,196000.0
CHEMBL4552531,O=C(O)CCn1[se]c2ccccc2c1=O,38000.0
CHEMBL4539240,CCC(CO)NC(=O)c1ccccc1[Se][Se]c1ccccc1C(=O)NC(CC)CO,108000.0
CHEMBL4461450,O=C(O)CCCNC(=O)c1ccccc1[Se][Se]c1ccccc1C(=O)NCCCC(=O)O,35400.0
CHEMBL4471428,COC(=O)CNC(=O)c1ccccc1[Se][Se]c1ccccc1C(=O)NCC(=O)OC,85000.0
CHEMBL4575318,COC(=O)CCCNC(=O)c1ccccc1[Se][Se]c1ccccc1C(=O)NCCCC(=O)OC,20100.0
CHEMBL1976884,O=C(O)c1ccccc1[Se][Se]c1ccccc1C(=O)O,794000.0
